PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	QUINN, R; APPLEBY, JB; PEZ, GP				QUINN, R; APPLEBY, JB; PEZ, GP			FACILITATED TRANSPORT MEMBRANES FOR ACID GAS SEPARATIONS	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY			English	Meeting Abstract									AIR PROD & CHEM INC,ALLENTOWN,PA 18105								0	0	0	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036	0065-7727			ABSTR PAP AM CHEM S	Abstr. Pap. Am. Chem. Soc.	AUG 26	1990	200		1				60	IEC				0	Chemistry, Multidisciplinary	Chemistry	DU042	WOS:A1990DU04201871		
J	HIRATO, T; KISHIGAMI, I; AWAKURA, Y; MAJIMA, H				HIRATO, T; KISHIGAMI, I; AWAKURA, Y; MAJIMA, H			CONCENTRATION OF URANYL SULFATE-SOLUTION BY AN EMULSION-TYPE LIQUID MEMBRANE PROCESS	HYDROMETALLURGY			English	Article							COUPLED TRANSPORT MEMBRANES; PROCESS PHOSPHORIC-ACID; URANIUM TRANSPORT; TERTIARY AMINE; W/O EMULSION; EXTRACTION; PERMEATION; SEPARATION	The applicability of the emulsion-type liquid membrane process using tri-n-octylamine (TNOA) as an extractant to concentrate uranium from sulfuric acid solutions was investigated. It was found that this liquid membrane process yields much higher extraction percentages than the conventional solvent extraction process using the same amount of TNOA. The liquid membrane process is particularly suitable for dilute solutions such as leach and wash solutions of uranium ores. Effects of various factors on the stability of emulsions and the extraction rate and percent extraction of U (VI) were examined. Among various agents tested, Na2CO3 was found to be preferable to strip sulfato-complexes of U (VI) in the internal phase. Batch-type extractions of U (VI) by the emulsion-type liquid membrane method were performed to simulate a two-stage counter current extraction, and the experimental results suggest that the U (VI) concentration in the final raffinate can be lowered to below 1 g m-3 when the feed solution containing 1 kg m-3 U (VI) is treated by a two-stage extraction.		HIRATO, T (reprint author), KYOTO UNIV,DEPT MET,SAKYO KU,KYOTO 606,JAPAN.							18	30	30	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0304-386X			HYDROMETALLURGY	Hydrometallurgy	JAN	1991	26	1					19	33		10.1016/0304-386X(91)90019-I		15	Metallurgy & Metallurgical Engineering	Metallurgy & Metallurgical Engineering	EU839	WOS:A1991EU83900002		
J	CHIARIZIA, R				CHIARIZIA, R			APPLICATION OF SUPPORTED LIQUID MEMBRANES FOR REMOVAL OF NITRATE, TECHNETIUM-(VII) AND CHROMIUM-(VI) FROM GROUNDWATER	JOURNAL OF MEMBRANE SCIENCE			English	Article						LIQUID MEMBRANES; FACILITATED TRANSPORT; GROUNDWATER; CELGARD MEMBRANE SUPPORT; MEMBRANE CARRIER; PRIMENE JM-T, AMBERLITE LA-2, TRILAURYLAMINE	COUPLED TRANSPORT MEMBRANES; ACIDIC NUCLEAR WASTES; URANIUM TRANSPORT; TERTIARY AMINE; LANTHANIDES; SEPARATION; ACTINIDES; WATER	The separation of nitrate, pertechnetate and chromate ions from synthetic Hanford site groundwater was studied by liquid-liquid extraction and by supported liquid membranes, SLMs. Three different commercially available long-chain aliphatic amines, Primene JM-T (primary), Amberlite LA-2 (secondary) and trilaurylamine (TLA, tertiary), were investigated as membrane carriers. n-Dodecane was used as diluent and polypropylene membranes were used as the support. Sodium hydroxide was used as the stripping agent. The basic strength of the three amines in dodecane was studied by biphasic potentiometric titrations using a glass electrode. Flat-sheet membrane experiments, where the removal of nitric acid from the feed solution was followed by using either a glass electrode or a nitrate electrode, showed that the secondary and primary amines are more effective than the tertiary one. A detailed study of the permeation of nitric acid through SLMs as function of the concentration of the three amines in the liquid membrane was performed. Information was obtained on the diffusion coefficients of nitric acid in the aqueous phase and of the nitrate-alkylammonium salt in the membrane phase. A similar investigation was performed with HTcO4. In this case the secondary and tertiary amines proved to be better carriers. The secondary amine also performed better than the other two as a carrier for H2CrO4. The primary amine showed the unique feature of removing U (VI) as an anionic sulfato-complex, together with nitrate, pertechnetate and chromate ions, from the synthetic groundwater.		CHIARIZIA, R (reprint author), ARGONNE NATL LAB,DIV CHEM,9700 S CASS AVE,ARGONNE,IL 60439, USA.							32	29	30	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	JAN 1	1991	55	1-2					39	64		10.1016/S0376-7388(00)82326-1		26	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	EX279	WOS:A1991EX27900003		
J	DERETIC, D; PAPERMASTER, DS				DERETIC, D; PAPERMASTER, DS			POLARIZED SORTING OF RHODOPSIN ON POST-GOLGI MEMBRANES IN FROG RETINAL PHOTORECEPTOR CELLS	JOURNAL OF CELL BIOLOGY			English	Article							RECEPTOR-MEDIATED ENDOCYTOSIS; PLASMA-MEMBRANE; BREFELDIN-A; BOVINE RHODOPSIN; MONOCLONAL-ANTIBODIES; ENDOPLASMIC-RETICULUM; VESICULAR TRANSPORT; ROD PHOTORECEPTORS; SECRETORY PROTEINS; RAT HEPATOCYTES	We have isolated a subcellular fraction of small vesicles (mean diameter, 300 nm) from frog photoreceptors, that accumulate newly synthesized rhodopsin with kinetics paralleling its appearance in post-Golgi membranes in vivo. This fraction is separated from other subcellular organelles including Golgi and plasma membranes and synaptic vesicles that are sorted to the opposite end of the photoreceptor cell. The vesicles have very low buoyant density in sucrose gradients (rho = 1.09 g/ml), a relatively simple protein content and an orientation of rhodopsin expected of transport membranes. Reversible inhibition of transport by brefeldin A provides evidence that these vesicles are exocytic carriers. Specific immunoadsorption bound vesicles whose protein composition was indistinguishable from the membranes sedimented from the subcellular fraction. Some of these proteins may be cotransported with rhodopsin to the rod outer segment; others may be involved in vectorial transport.		DERETIC, D (reprint author), UNIV TEXAS,HLTH SCI CTR,DEPT PATHOL,SAN ANTONIO,TX 78284, USA.							62	98	98	ROCKEFELLER UNIV PRESS	NEW YORK	222 E 70TH STREET, NEW YORK, NY 10021	0021-9525			J CELL BIOL	J. Cell Biol.	JUN	1991	113	6					1281	1293		10.1083/jcb.113.6.1281		13	Cell Biology	Cell Biology	FQ772	WOS:A1991FQ77200004	1828467	
J	GUHA, AK; MAJUMDAR, S; SIRKAR, KK				GUHA, AK; MAJUMDAR, S; SIRKAR, KK			A LARGER-SCALE STUDY OF GAS SEPARATION BY HOLLOW-FIBER-CONTAINED LIQUID MEMBRANE PERMEATOR	JOURNAL OF MEMBRANE SCIENCE			English	Article						BIOGAS PURIFICATION; LIQUID MEMBRANES; HOLLOW-FIBER-CONTAINED LIQUID MEMBRANE; MICROPOROUS POLYPROPYLENE MEMBRANE; GAS SEPARATIONS	TRANSPORT	Long-term results of model biogas purification studies in a large-scale hollow-fiber-contained liquid membrane permeator containing 7008 hydrophobic microporous polypropylene hollow fibers are presented. The liquid membranes used were either pure water or an aqueous 20 wt.% diethanolamine (DEA) solution. Gas mixtures containing CO2 and N2 or CO2 and CH4 were utilized as feed. Steady and stable separation performance was observed for both passive and facilitated transport membranes.	STEVENS INST TECHNOL LIB,CTR MEMBRANES & SEPARAT TECHNOL,DEPT CHEM & CHEM ENGN,HOBOKEN,NJ 07030								18	15	15	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	OCT 30	1991	62	3					293	307		10.1016/0376-7388(91)80044-7		15	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	GR897	WOS:A1991GR89700005		
J	PEZ, GP; CARLIN, RT				PEZ, GP; CARLIN, RT			MOLTEN-SALT FACILITATED TRANSPORT MEMBRANES .1. SEPARATION OF OXYGEN FROM AIR AT HIGH-TEMPERATURES	JOURNAL OF MEMBRANE SCIENCE			English	Article						FACILITATED TRANSPORT; MOLTEN SALT MEMBRANES; SEPARATION OF OXYGEN FROM AIR; LIQUID MEMBRANES; IMMOBILIZED MOLTEN SALT MEMBRANES	NITRATE	A new approach to the fabrication of facilitated transport (FT) liquid membranes for the separation of gases is described. The membranes are prepared by imbibing a thin, porous flat sheet support with a molten salt that reacts reversibly with the desired permeant gas, and which thus acts as a facilitated transport carrier of the gas. As an illustration of this concept, membranes consisting of molten lithium nitrate and sodium nitrate immobilized in thin porous metal supports were constructed and tested for the separation of oxygen from dried zero grade air at 350-524-degrees-C. These immobilized molten salt (IMS) membranes were shown to selectively permeate oxygen via a FT mechanism, which is based on the reversible reaction of oxygen with nitrite ions in the melts: M+NO2- + 1/2 O2 reversible M+NO3-, M = Li, Na For a NaNO3.IMS membrane oxygen permeabilities (Po(o2)) ranging from 58 to 1110 barrer with corresponding oxygen to nitrogen selectivities ranging from 4 to 80 were observed, at 452-degrees-C to 524-degrees-C and specified experimental conditions. There is a strong dependence of Po(o2) on operating temperature, which is indicative of a nitrate ion dissociation rate determining step for the FT of oxygen through the membrane. The advantages and limitations of immobilized molten salt versus conventional immobilized liquid FT membranes are discussed.		PEZ, GP (reprint author), AIR PROD & CHEM INC,CTR CORP SCI & TECHNOL,ALLENTOWN,PA 18195, USA.							25	17	18	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	JAN 1	1992	65	1-2					21	30		10.1016/0376-7388(92)87048-3		10	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	HB738	WOS:A1992HB73800003		
J	LACIAK, DV; PEZ, GP; BURBAN, PM				LACIAK, DV; PEZ, GP; BURBAN, PM			MOLTEN-SALT FACILITATED TRANSPORT MEMBRANES .2. SEPARATION OF AMMONIA FROM NITROGEN AND HYDROGEN AT HIGH-TEMPERATURES	JOURNAL OF MEMBRANE SCIENCE			English	Article						FACILITATED TRANSPORT; MOLTEN SALT MEMBRANES; SEPARATION OF AMMONIA FROM NITROGEN AND HYDROGEN; LIQUID MEMBRANES; IMMOBILIZED MOLTEN SALT MEMBRANES		Immobilized molten salt (IMS) membranes have been prepared and shown to be effective for the separation of NH3 from mixtures with N2 and H2 at the high temperatures encountered in the recycle loop of ammonia synthesis plants. The membranes were prepared by immobilizing molten LiNO3 and ZnCl2, salts which react reversibly with NH3 but not with N2 or H2, in thin porous supports. Ammonia permeabilities of 10(3) to 10(5) barrer and NH3/N2 and NH3/H2 selectivities of at least 1000 were observed at 250-300-degrees-C. The extraordinary NH3 permeability through the ZnCl2 IMS membrane is explained by a carrier-mediated facilitated transport model wherein zinc ammoniate complexes function as mobile carriers.	AIR PROD & CHEM INC,CTR CORP SCI & TECHNOL,ALLENTOWN,PA 18195								15	4	4	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	JAN 1	1992	65	1-2					31	38		10.1016/0376-7388(92)87049-4		8	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	HB738	WOS:A1992HB73800004		
J	ERTEL, J; PARETZKE, HG; ZIEGLER, H				ERTEL, J; PARETZKE, HG; ZIEGLER, H			CS-137 PENETRATION BY CONTACT EXCHANGE THROUGH ISOLATED PLANT CUTICLES - CUTICLES AS ASYMMETRIC TRANSPORT MEMBRANES	PLANT CELL AND ENVIRONMENT			English	Article						PYRUS-COMMUNIS; ROSACEAE; PEAR; PRUNUS-CERASUS; ROSACEAE; CHERRY; ISOLATED CUTICLES; CS-137 PENETRATION; CONTACT EXCHANGE; ASYMMETRY	WATER PERMEABILITY; CUTICULAR MEMBRANES; LEAVES; CHEMICALS	The penetration of Cs-137 by contact exchange through cuticular membranes from the adaxial surface of leaves of Pyrus communis and Prunus cerasus has been investigated. The resistance of the cuticles to the caesium penetration was dependent on the counter-ions associated with the fixed negative ion exchange sites in the membrane. The mobility of hydrated potassium ions and their tenuous connection to -COOH--groups in the membrane encouraged caesium permeation in contrast to cuticular membranes with predominantly protonized ion exchange sites. Divalent calcium ions caused a strong reduction (4-20 times) of the caesium permeability which is decisive for the calculation of the caesium uptake by the intact leaf. Under these conditions, a penetration rate of the deposited caesium of 0.11 +/- 0.05% h-1 for pear cuticles and of 0.036 +/- 0.025% h-1 for cherry cuticles was measured after the adjustment to steady state conditions. Approximately 12-24% and 4.5-7.5% of initially retained caesium could be absorbed by the leaves of pear and cherry, respectively, in a rain-free period of 7 d in the area of Munich after wet deposition of fallout from the Chernobyl reactor accident. Furthermore, the caesium penetration from the physiological inside to the outside of the membrane was found to be smaller by a factor of 100-150 compared with that of the opposite direction.	TECH UNIV MUNICH,INST BOT & MICROBIOL,W-8000 MUNICH 2,GERMANY	ERTEL, J (reprint author), GSF INST STRAHLENSCHUTZ,INGOLSTADTER LANDSTR 1,W-8042 NEUHERBERG,GERMANY.							27	10	10	BLACKWELL SCIENCE LTD	OXFORD	OSNEY MEAD, OXFORD, OXON, ENGLAND OX2 0EL	0140-7791			PLANT CELL ENVIRON	Plant Cell Environ.	FEB	1992	15	2					211	219		10.1111/j.1365-3040.1992.tb01475.x		9	Plant Sciences	Plant Sciences	HG866	WOS:A1992HG86600008		
J	IGAWA, M; TAKABAYASHI, Y; KOIZUMI, T				IGAWA, M; TAKABAYASHI, Y; KOIZUMI, T			ELECTRON-TRANSPORT AND REDOX CHAIN-REACTIONS IN A MOSAIC MEMBRANE	BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN			English	Article							CARRIER	A circulating current enhances transports of ions and electrons in a mosaic membrane system with ion-exchange membranes and electron-transport membranes. Electron transport is readily coupled to ion transport in a new mosaic membrane with electron-transport regions and ion-exchange regions. Electrons and ions are transported in the same or opposite direction by the driving forces of the redox potential gradient or the concentration gradient. Redox chain reactions are also generated in the mosaic membrane system as the electron flow in biological membranes.		IGAWA, M (reprint author), KANAGAWA UNIV, FAC ENGN, DEPT APPL CHEM, ROKKAKUBASHI, KANAGAWA KU, YOKOHAMA 221, JAPAN.							13	3	3	CHEMICAL SOC JAPAN	TOKYO	1-5 KANDA-SURUGADAI CHIYODA-KU, TOKYO, 101-8307, JAPAN	0009-2673	1348-0634		B CHEM SOC JPN	Bull. Chem. Soc. Jpn.	JUN	1992	65	6					1561	1565		10.1246/bcsj.65.1561		5	Chemistry, Multidisciplinary	Chemistry	JC044	WOS:A1992JC04400016		
J	MOHAPATRA, R; KANUNGO, SB; SARMA, PVRB				MOHAPATRA, R; KANUNGO, SB; SARMA, PVRB			SEPARATION OF CO(II)-ZN(II), CO(II)-MN(II) AND ZN(II)-MN(II) SYSTEMS FROM THEIR BINARY-SOLUTIONS THROUGH SUPPORTED LIQUID MEMBRANE CONTAINING ORGANOPHOSPHORUS ACID AS EXTRACTANT	INDIAN JOURNAL OF CHEMISTRY SECTION A-INORGANIC BIO-INORGANIC PHYSICAL THEORETICAL & ANALYTICAL CHEMISTRY			English	Note							COUPLED TRANSPORT MEMBRANES; URANIUM TRANSPORT; TERTIARY AMINE	The separation of Co(II)-Zn(II), Co(II)-Mn(II) and Zn(II)-Mn(II) systems has been carried out from their aqueous sulphate solutions through supported liquid membrane (SLM) containing organophosphorus acid in kerosene as extractant. The implications of these data in hydrometallurgy are briefly discussed.	REG RES LAB,BHUBANESWAR 751013,INDIA								12	2	2	COUNCIL SCIENTIFIC INDUSTRIAL RESEARCH	NEW DELHI	PUBL & INFO DIRECTORATE, NEW DELHI 110012, INDIA	0376-4710			INDIAN J CHEM A	Indian J. Chem. Sect A-Inorg. Phys. Theor. Anal. Chem.	JUN	1992	31	6					389	390				2	Chemistry, Multidisciplinary	Chemistry	JJ139	WOS:A1992JJ13900021		
